recipe_id,title,ingredients,quantities
20,Chettinad Vegetable Casserole Recipe - Chettinad Vegetable Pulao Recipe,"turmeric powder,ginger,rice,ghee,cinnamon,fennel,red chilli powder,cloves garlic,carrot,green beans,onion,bay leaf break,mint leaves,potatoes,pepper,cloves,coriander seeds,green chillies,green peas","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
21,Garlic Amla Chutney Recipe - Lehsun Amla Chutney Recipe,"cashew nuts,salt,rye,urad dal,mint,coriander,curry leaves,amla,onion,oil,chana dal,bud garlic,green chillies","1,1,1,1,1,1,1,1,1,1,1,1,1"
22,Maharashtrian Kakdi Thalipeeth Recipe - Spiced Cucumber Flat Bread,"salt,wheat flour,cumin powder (jeera),ghee on thalipeeth,coriander (dhania) leaves,red chilli powder,cloves garlic,gram flour (besan),cucumber,coriander powder,rice flour,turmeric powder,green chillies","1,1,1,1,1,1,1,1,1,1,1,1,1"
23,Homemade Healthy Subway Sandwich Recipe With Beet & Sprout,"tomato,salt,hung curd (greek yogurt),stalks spring onion (bulb greens),coriander (dhania) leaves,tabasco original sauce,green moong sprouts,cloves garlic,pepper,beetroot,submarine bread (subway bread) (flat breads foot s)","1,1,1,1,1,1,1,1,1,1,1"
24,South Indian Style Murungakkai Poriyal Recipe - Drumstick Stir Fry,"salt,mustard seeds,coconut,water,drumstick,curry leaves,dry red chillies,turmeric powder,coconut oil,green chillies","1,1,1,1,1,1,1,1,1,1"
25,Kesar Mango Lassi Recipe - Saffron Mango Lassi Recipe,"mango pulp (puree),milk cold milk,ice cubes,saffron strands,curd,badam (almond)","1,1,1,1,1,1"
26,Chettinad Sweet Paniyaram Recipe - Chettinad Sweet Paniyaram Recipe,"cardamom powder,salt,idli dosa mixture,coconut,jaggery,rice rava,water,oil","1,1,1,1,1,1,1,1"
27,Mini Dal Samosa Curry / Sabzi Recipe,"cashew nuts,black cardamom (badi elaichi),tomato,kashmiri red chilli powder,samosas mini,green chilli,ginger,cardamom (elaichi) podsseeds,bay leaf (tej patta),cloves cloves (laung),black peppercorns,sugar,cinnamon stick (dalchini),mace (javitri),onion,coriander powder,turmeric powder,kasuri methi (dried fenugreek leaves),garam masala powder,sunflower oil","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
28,Spinach Garlic Bruschetta Recipe With Red Bell Pepper Sauce,"tomato,salt,baguette,italian,garlic,onion,cheddar cheese,black pepper powder,tomato pasta sauce,spinach leaves (palak),butter,red bell pepper (capsicum) (","1,1,1,1,1,1,1,1,1,1,1,1"
29,Mini Dal Mature Chat Recipe - That Perfect Party Snack,"asafoetida (hing),ajwain (carom seeds),curry leaves,onion,cumin seeds (jeera),turmeric powder,green chillies,chana dal (bengal gram dal),sunflower oil,salt,wheat flour,sev,pomegranate fruit kernels,flour (maida),green chutney (coriander mint),garam masala powder,red chilli powder,sweet chutney (date tamarind),sugar,amchur (dry mango powder),ghee","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
30,Asian Style Sweet & Spicy Green Beans Recipe,"salt,green beans (french beans),rice wine vinegar,sesame (gingelly) oil,cloves garlic,soy sauce,thai sweet chilli sauce,lemon,peanuts (moongphali)","1,1,1,1,1,1,1,1,1"
31,Chinese Darsaan Recipe With Ice Cream,"baking powder,water make the dough,water,sugar,vanilla,flour (maida),sesame seeds (til seeds) white,sunflower oil","1,1,1,1,1,1,1,1"
32,Sundakkai and Methi Leaves Sambar Recipe - Sundkai Methi Sambar Recipe,"tomato,turmeric powder,salt,coriander (dhania) leaves,fenugreek,sundkai,asafoetida,water,mustard,dry red chilli,curry leaves,oil,coriander powder,arhar dal,tamarind,sambar powder,cumin seeds","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
33,"Cabbage, Spinach, Pomegranate Slaw with Lemon Dressing Recipe","salt,spinach,virgin olive oil,lemon,pomegranate fruit kernels,cabbage (patta gobi muttaikose),pepper","1,1,1,1,1,1,1"
34,Matar Samosa Recipe -Green Pea Samosa,"salt,cinnamon powder (dalchini),amchur (dry mango powder),ghee,red chilli powder,green peas (matar),water,green chilli sauce,cumin seeds (jeera),flour (maida),garam masala powder,sunflower oil","1,1,1,1,1,1,1,1,1,1,1,1"
35,Eggless Chocolate Cupcakes With Raspberry & Cheese Frosting,"cheese,baking powder,britannia,raspberries,milk,salted butter,baking soda,sugar,vanilla,dark chocolate,caster sugar,cocoa powder,flour (maida)","1,1,1,1,1,1,1,1,1,1,1,1,1"
36,Kerala pala pradham recipe,"ada,ghee,sugar,cardamom powder (elaichi),milk full","1,1,1,1,1"
37,Tindora Sambharo Recipe - Instant Tendli Pickle,"salt,sunflower oil,asafoetida (hing),red chilli powder,split methi seeds (methi kuria),tindora (dondakaya kovakkai),lemon,turmeric powder,split mustard seeds (rai kuria)","1,1,1,1,1,1,1,1,1"
38,Chettinad Style Chicken Roast Recipe,"jaggery,cloves garlic,black peppercorns,curry leaves,coriander (dhania) seeds,onion,cumin seeds (jeera),turmeric powder,chicken legs,sunflower oil,salt,cardamom (elaichi) podsseeds,dry red chillies,tamarind paste,kalonji (onion nigella seeds),coconut,mustard seeds,methi seeds (fenugreek seeds),hung curd (greek yogurt),ginger,ghee,fennel seeds (saunf),cinnamon stick (dalchini),cloves (laung)","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
39,Palakottai Kujambu Recipe-Kongunad Style Jackfruit Seeds Curry,"tomato,coriander (dhania),jackfruit seeds (kathal),salt,tamarind water,mustard seeds,asafoetida (hing),coconut,red chilli powder,cloves garlic,black peppercorns,curry leaves,dry red chillies,onion,cumin seeds (jeera),coriander (dhania) seeds,turmeric powder,sambar powder,sunflower oil","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
40,Baingan Bharta Recipe - Brinjal Bharta Recipe,"tomato,turmeric powder,salt,ginger,red chilli powder,eggsplant,coriander,onion,oil,coriander powder,green chillies,butter,garam masala powder","1,1,1,1,1,1,1,1,1,1,1,1,1"
41,Kesar Chai Recipe - A Delicious Saffron Flavored Indian Tea,"milk,water,saffron strands,tea leaves","1,1,1,1"
42,Pacha Manga Pachadi Recipe - Tamil Nadu Raw Mango Pachadi Recipe,"turmeric powder,salt,tamarind water,asafoetida,jaggery,mustard,curry leaves,dry red chillies,oil,mango,sambar powder","1,1,1,1,1,1,1,1,1,1,1"
43,Short Knot Husband Recipe - Raw Jackfruit & Black Chickpea Stir Fry,"tomato,jackfruit seeds (kathal),ginger,tamarind water,mustard seeds,coconut,cloves garlic,curry leaves,dry red chillies,coriander (dhania) seeds,cumin seeds (jeera),cinnamon stick (dalchini),turmeric powder,cloves (laung),kala chana (brown chickpeas)","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
44,Whole Wheat Crepe Recipe With Herbed Vegetables,"salt,wheat flour,red bell pepper (capsicum),cheese flavoured,italian,parsley leaves,onion,broccoli","1,1,1,1,1,1,1,1"
45,Makki and Methi Roti Recipe,"salt,makki ka atta (yellow corn meal flour),kashmiri red chilli powder,ajwain (carom seeds),methi leaves (fenugreek leaves),green chillies","1,1,1,1,1,1"
46,Cabbage and Carrot Sambharo Recipe - Gujarati Vegetable Stir Fry,"salt,mustard seeds,asafoetida (hing),carrot,curry leaves,sugar,lemon,green bell pepper (capsicum),turmeric powder,green chillies,cabbage (patta gobi muttaikose),sunflower oil","1,1,1,1,1,1,1,1,1,1,1,1"
47,Whole Wheat Pita Bread Recipe,"salt,wheat flour,water,dry yeast,virgin olive oil,sugar,flour (maida)","1,1,1,1,1,1,1"
48,Andhra Steel Tomato Knock Recipe (Tomato Chutney),"tomato,salt,mustard seeds,red chilli powder,cloves garlic,dry red chillies,methi seeds (fenugreek seeds),tamarind paste,turmeric powder,sunflower oil","1,1,1,1,1,1,1,1,1,1"
49,Herbal Brown Rice Recipe - Herbal Brown Rice Recipe,"salt,brown rice,rosemary,red chilli flakes,water,onion,garlic,oil,oregano","1,1,1,1,1,1,1,1,1"
50,Rajasthani very roti recipe,"salt,wheat flour,water,ghee","1,1,1,1"
51,Peerkangai Thogayal Recipe (Ridge Gourd Peel Chutney),"salt,ridge gourd skin (turai peerkangai),mustard seeds,curry leaves,white urad dal (split),dry red chillies,methi seeds (fenugreek seeds),tamarind,sunflower oil","1,1,1,1,1,1,1,1,1"
52,Dalia Pakora Recipe - Dalia Pakora Recipe,"salt,wheat (dalia godumai rava),water make pakora batter,enos fruit salt,green chilli,coriander (dhania) leaves,ajwain (carom seeds),sunflower oil the pakoras,gram flour (besan),onion,cumin seeds (jeera),turmeric powder,sunflower oil","1,1,1,1,1,1,1,1,1,1,1,1,1"
53,Paneer Tikka Saddle Roll Recipe,"salt,wheat flour,hung curd (greek yogurt),ginger,ghee,paneer,chaat masala powder,cloves garlic,gram flour (besan),onion,lemon,coal giving smoked flavour,green bell pepper (capsicum),mint leaves (pudina),turmeric powder,kasuri methi (dried fenugreek leaves),garam masala powder","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
54,Pan Fried Rice Balls Filled With Cheese Recipe,"salt,jasmine rice,eggs fork,mozzarella cheese,virgin olive oil,onion,parsley leaves,sweet corn,parmesan cheese,flour (maida),wheat bread crumbs,butter,sunflower oil","1,1,1,1,1,1,1,1,1,1,1,1,1"
55,Spicy Seafood Stew Casserole With Tomatoes And Lime Recipe,"tomato,salt,cumin powder (jeera),red chillies,fish fillet basa,paprika powder,coriander (dhania) leaves,chicken stock,cloves garlic,carrot,virgin olive oil,onion,lemon,baby potatoes,black pepper powder,coconut milk,clamps,prawns","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
56,Spicy Chilli Garlic Noodles Recipe,"salt,water,cloves garlic,soy sauce,white vinegar,green bell pepper (capsicum),tomato ketchup,onion,dry red chillies (chilli flakes),black pepper powder,hakka noodles,red chilli sauce,sunflower oil","1,1,1,1,1,1,1,1,1,1,1,1,1"
57,Chanar Dal Recipe - Bengali Steel Paneer & Potato Gravy,"tomato,salt,ginger,bay leaf (tej patta),paneer,potato (aloo),red chilli powder,dry red chilli,sugar,cumin seeds (jeera),panch phoran masala,turmeric powder,sunflower oil","1,1,1,1,1,1,1,1,1,1,1,1,1"
58,Cheesy Garlic Broccoli Nuggets Recipe,"salt,corn flour,nutralite cheesy garlic mayo,mozzarella cheese,nutralite garlic oregano pan roasting,broccoli florets,wheat bread crumbs","1,1,1,1,1,1,1"
59,Bengali radish potato vegetable recipe,"salt,kasundi mustard sauce,kalonji (onion nigella seeds),green chilli,mustard oil,mustard seeds,potato (aloo),red chilli powder,sugar,onion,cumin seeds (jeera),turmeric powder,mooli mullangi (radish)","1,1,1,1,1,1,1,1,1,1,1,1,1"
60,Beetroot Sambar Recipe,"salt,coriander,tamarind water,asafoetida,mustard,curry leaves,dry red chilli,chakundar,sesame oil,arhar dal,sambar powder","1,1,1,1,1,1,1,1,1,1,1"
61,Kaddu Palak Roti Recipe (Pumpkin Spinach Flat Bread),"salt,wheat flour,spinach,red chilli powder,sunflower oil rotis,cumin seeds (jeera),parangikai pumpkin (red preferably),coriander powder,water dough,turmeric powder","1,1,1,1,1,1,1,1,1,1"
62,Iranian Baida Curry Recipe,"salt,ginger,eggs,coconut,jaggery,cloves garlic,dry red chilli,coriander (dhania) leaves,coriander (dhania) seeds,onion,poppy seeds,badam (almond),sesame seeds (til seeds),sunflower oil","1,1,1,1,1,1,1,1,1,1,1,1,1,1"
63,Vegan Chickpea Omelette Recipe (Spiced Chickpea Flour Pancakes),"tomato,salt,ginger,asafoetida (hing),coriander (dhania) leaves,ajwain (carom seeds),cloves garlic,water,gram flour (besan),baking soda,onion,coconut milk,turmeric powder,green chillies,sunflower oil","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
64,Peanut Pudding Recipe - Salt Pudding / Firm Mod Modak,"salt,ginger,sunflower oil,asafoetida (hing),mustard seeds,sesame (gingelly) oil,water,curry leaves,rice flour,green chillies,white urad dal","1,1,1,1,1,1,1,1,1,1,1"
65,Singapore Style Chicken Layered Fried Rice Recipe,"spring onion greens,cumin powder (jeera),carrot,onion,black pepper powder,green chillies,sunflower oil,eggs noodles tossed oil,salt,soy sauce,white pepper powder,rice,chinese spice powder,red chilli powder,garlic,lemon,classic mayonnaise (with eggs),sweet spicy red chilli sauce (tomato chilli sauce),boneless chicken,ginger,spring onion (bulb greens),tomato ketchup,vinegar,green bell pepper (capsicum),red chilli sauce","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
66,Tofu Pulao Recipe,"turmeric powder,salt,tomato take,rice,ghee,capsicum (green) red yellow,red chilli powder,lentil sugar,ginger garlic paste,coriander,bay leaf,onion,coriander powder,tofu,green chillies,cumin seeds,garam masala powder","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
67,Masala Sandwich Recipe With Rocket Leaves,"tomato,pav bhaji masala,salt,ginger,french bread rye bread,coriander (dhania) leaves,paneer,rocket leaves salad leaves the sandwich,cloves garlic,onion,green bell pepper (capsicum),potato (aloo)","1,1,1,1,1,1,1,1,1,1,1,1"
68,Tomato Relish Recipe,"tomato,salt,red wine vinaigrette,cloves garlic,virgin olive oil,onion,black pepper powder,dijon mustard,cane sugar,dried oregano","1,1,1,1,1,1,1,1,1,1"
69,Dubuk Vade Recipe - Khandeshi Gram Flour Dumpling Curry,"salt,coriander (dhania) leaves,coconut,red chilli powder,cloves garlic,gram flour (besan),onion,cumin seeds (jeera),turmeric powder,garam masala powder","1,1,1,1,1,1,1,1,1,1"
70,Radish Soup Recipe,"salt,coriander (dhania) leaves,water,mooli mullangi (radish) purple,black pepper powder,mooli mullangi (radish),garam masala powder","1,1,1,1,1,1,1"
71,Mango Donut Cake Recipe With Chocolate Glaze,"baking powder,salt,mango pulp (puree),baking soda,vivatta maida,sugar,vanilla,dark chocolate,cocoa powder,sunflower oil","1,1,1,1,1,1,1,1,1,1"
72,Matar Paneer Kachori Korma Recipe - Green Peas And Paneer Kachori Curry,"tomato,coriander (dhania) leaves,ajwain (carom seeds),onion,cumin seeds (jeera),turmeric powder,sunflower oil,salt,cardamom (elaichi) podsseeds,mace (javitri),cashews,flour (maida),garam masala powder,red chilli powder,curd,sugar,pepper,kasuri methi (dried fenugreek leaves),amchur (dry mango powder),paneer,green peas (matar),ginger garlic paste,cinnamon stick (dalchini),coriander powder,cloves (laung)","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
73,Zucchini Roll Up Lasagne Recipe,"tomato,salt,red bell pepper (capsicum),rosemary,black pepper corns,mozzarella cheese,virgin olive oil,cloves garlic,red chilli flakes,basil leaves,sugar,onion,thyme leaves,green zucchini","1,1,1,1,1,1,1,1,1,1,1,1,1,1"
74,Thengai Sadam Recipe (A Quick and Healthy Coconut Rice),"green chillies,salt,ginger,rice,mustard seeds,coconut,curry leaves,white urad dal (split),coconut oil,chana dal (bengal gram dal),peanuts (moongphali) fistful","1,1,1,1,1,1,1,1,1,1,1"
75,Karwar Style Ambade Udid Methi Recipe - Hog Plum Curry,"salt,coconut,asafoetida (hing),karela (bitter gourd pavakkai),hog plum (amtekai) (ambade),rice (raw rice),jaggery,black peppercorns,black urad dal (split),dry red chilli,mustard seeds,coriander (dhania) seeds,methi seeds (fenugreek seeds),turmeric powder,sunflower oil","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
76,Roasted Cauliflower Recipe,"herbs herbs choice like basil,salt,black pepper powder red chilli powder,anardana powder (pomegranate seed powder),cauliflower (gobi),virgin olive oil,garlic,cumin seeds (jeera),pomegranate molasses or,coriander powder","1,1,1,1,1,1,1,1,1,1"
77,Pain Viennois | Vienna Bread Recipe,"salt,water,dry yeast,sugar,vivatta maida bread flour,eggs brushing (or milk,milk powder,butter","1,1,1,1,1,1,1,1"
78,Crunchy Ginger Capsicum Rice Recipe,"yellow bell pepper (capsicum),basmati rice,red bell pepper (capsicum),ginger,salt,sesame seeds (til seeds) mixed black white,green bell pepper (capsicum),green chillies,butter","1,1,1,1,1,1,1,1,1"
79,Bengali Chirer Payesh / Poha Pudding Recipe With Nolen Gur,"salt,nolen gur brown sugar,cardamom (elaichi) podsseeds,poha (flattened rice),milk,saffron strands,raisins,mixed nuts almondscashews,rice flour","1,1,1,1,1,1,1,1,1"
80,Shanghai Style Chap Nian Gao Recipes (Stir Fried Rice Cakes Recipes),"salt,corn flour,bok choy,carrot,dark soy sauce,sugar,bean paste,button mushrooms,rice flour,red chilli sauce,cabbage (patta gobi muttaikose),sunflower oil","1,1,1,1,1,1,1,1,1,1,1,1"
81,White Pumpkin Mor Kuzhambu Recipe - Kerala Style White Pumpkin Curry,"salt,coconut,mustard seeds,vellai poosanikai (ash gourdwhite pumpkin),water,dry red chilli,curd,curry leaves,coconut oil,methi seeds (fenugreek seeds),black pepper powder,turmeric powder,green chillies","1,1,1,1,1,1,1,1,1,1,1,1,1"
82,Paneer and Green Peas Paratha Recipe - Paneer and Green Peas Paratha Recipe,"turmeric powder,salt,wheat flour,mango powder powder,ginger green chilli,red chilli powder,water,oil,coriander powder,cheese crumble,green peas","1,1,1,1,1,1,1,1,1,1,1"
83,Elephant Yam Raita (Recipe In Hindi),"salt,rye,ginger,green chilli,kali urad dal (split),coriander,elephant yam,curd,oil,asafetida","1,1,1,1,1,1,1,1,1,1"
84,Drunken Noodles Recipe - Drunken Noodles Recipe,"fish sauce,ginger,capsicum (green),capsicum (yellow),capsicum (red),thai basil leaves,cloves garlic,baby corn,soy sauce,sriracha sauce,green onion,rice noodles,brown sugar","1,1,1,1,1,1,1,1,1,1,1,1,1"
85,Chettinad Style Prawn Biryani Recipe,"basmati rice,black peppercorns,curry leaves,cumin seeds (jeera),turmeric powder,green chilli paste,sunflower oil,black cardamom (badi elaichi),ginger paste,cardamom (elaichi) podsseeds,garam masala powder,coconut,red chilli powder,dry red chilli,garlic paste,hung curd (greek yogurt),bay leaves (tej patta),ghee,shrimps prawns,cinnamon stick (dalchini),coriander powder","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
86,Walnut and Flax Seed Trail Mix Recipe With Figs and Honey,"dried figs,flax seeds,peanuts (moongphali),walnuts,cinnamon powder (dalchini)","1,1,1,1,1"
87,Murgh Malaiwala Recipe - Chicken In Rich Creamy Gravy,"salt,bay leaf (tej patta),ghee,milk,gram chicken,onion,lemon,badam (almond) paste,cardamom powder (elaichi),black pepper powder,cinnamon stick (dalchini),ginger paste,kasuri methi (dried fenugreek leaves),garlic paste","1,1,1,1,1,1,1,1,1,1,1,1,1,1"
88,Paal Kesari Recipe - South Indian Style Milk Kesari,"cashew nuts,ghee roasting the rava,mixed dry fruits,cardamom (elaichi) podsseeds,ghee,milk,raisins,sugar,saffron strands ( using mortar pestle),sooji (semolina rava)","1,1,1,1,1,1,1,1,1,1"
89,Spicy Lemon Chicken Kebab Recipe,"salt,red bell pepper (capsicum),red chilli flakes,virgin olive oil,onion,lemon,thyme leaves,black pepper powder,chicken breasts","1,1,1,1,1,1,1,1,1"
90,Paneer Butter Masala Biryani Recipe - Layered Paneer Butter Masala Biryani Recipe,"tomato,cloves garlic,kasoori methi,onion,cardamom,salt,green chilli,cottage cheese cube,cinnamon,cashews,garam masala powder,star anise,cardamom powder,rice,red chilli powder,water,mint,coriander (dhania) leaves,ginger,ghee,cumin powder,bay leaf,salt oil,black pepper","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
91,Gond Ke Ladoo Recipe - Edible Gum Ladoo,"cashew nuts,wheat flour,ghee,dry coconut (kopra),sugar,badam (almond),goond (edible gum)","1,1,1,1,1,1,1"
92,Kobari Charu recipe - Kobbari Charu Recipe,"salt,coriander leaves,chana lentils,spoon turmeric powder,water,mustard,curry leaves,oil,coconut milk,green chillies,cumin seeds","1,1,1,1,1,1,1,1,1,1,1"
93,Basil Tincture Recipe (Or) - Herbal Drink From Basil,"water,dry ginger powder,tulsi (holy basil),black pepper powder,palm sugar (panakalkandu)","1,1,1,1,1"
94,Carrot Corn Mayo Pancake Recipe With Sandwich Spread,"baking powder,wheat flour,salt,coriander (dhania) leaves,black pepper powder,carrot,baking soda,curd,onion,del monte sandwich,sweet corn,eggs,green chillies,butter","1,1,1,1,1,1,1,1,1,1,1,1,1,1"
95,Tamil Nadu Style Spicy Egg Fry Recipe,"salt,ginger,gram dal (pottukadalai),cloves garlic,black peppercorns,dry red chillies,eggs,sunflower oil","1,1,1,1,1,1,1,1"
96,Chirer Dudh Puli Recipe - Bengali Style Baten Rice Dumpling Milk,"palm jaggery date palm jaggery,coconut,poha (flattened rice),milk,sooji (semolina rava),flour (maida)","1,1,1,1,1,1"
97,Waffle Broth Recipe - Puppet's Yamarinta Crovy,"urad dal papad,salt,tamarind water,asafoetida (hing),mustard seeds,jaggery,water,pearl onion (sambar onion),curry leaves,dry red chillies,gingelly oil,methi seeds (fenugreek seeds),turmeric powder,sambar powder","1,1,1,1,1,1,1,1,1,1,1,1,1,1"
98,Kashmiri Style Modur Pulao With Pomegranate Recipe,"cashew nuts,salt,cumin powder (jeera),cardamom (elaichi) podsseeds,ghee,anardana powder (pomegranate seed powder),milk,saffron strands,raisins,water,cinnamon stick (dalchini),badam (almond),basmati rice hour,dates,cloves (laung),sunflower oil","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
99,North Indian Style Mushroom Matar Masala Recipe,"tomato paste,green chilli,coriander powder,mustard seeds,asafoetida (hing),green peas (matar),red chilli powder,water,onion paste,ginger garlic paste,coriander (dhania) leaves,onion,cumin seeds (jeera),button mushrooms,turmeric powder,garam masala powder,sunflower oil","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
100,Dhania Chole Masala Recipe - Chickpeas In Fresh Coriander Gravy,"salt,black salt,ginger,coriander (dhania) leaves,ghee,bay leaf (tej patta),cloves garlic,kabuli chana (white chickpeas),onion,lemon,cinnamon stick (dalchini),brown cardamom (badi elaichi),coriander powder,green chillies,garam masala powder","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
101,Capsicum Masala Poriyal (Recipe in Hindi),"salt,peanuts roast,coconut,capsicum (green),capsicum (yellow),capsicum (red),mustard,curry leaves,cloves garlic un,dry red chillies,onion,oil,coriander (dhania) leaves,cumin seeds","1,1,1,1,1,1,1,1,1,1,1,1,1,1"
